Datum,FinanceGroep,Budget
2/10/2022,Scholen alleen entree,0
2/10/2022,Evenementen Scholen,0
2/10/2022,Evenementen met entree,0
2/10/2022,Groepen,0
2/10/2022,Gratis/ <3,23
2/10/2022,Abonnement,140
2/11/2022,Vol betalend,45
2/11/2022,Actie,131
2/11/2022,Accommodatie,11
2/11/2022,Scholen alleen entree,0
2/11/2022,Evenementen Scholen,0
2/11/2022,Evenementen met entree,0
2/11/2022,Groepen,0
2/11/2022,Gratis/ <3,23
2/11/2022,Abonnement,140
2/12/2022,Vol betalend,202
2/12/2022,Actie,418
2/12/2022,Accommodatie,50
2/12/2022,Scholen alleen entree,0
2/12/2022,Evenementen Scholen,0
2/12/2022,Evenementen met entree,0
2/12/2022,Groepen,0
2/12/2022,Gratis/ <3,130
2/12/2022,Abonnement,300
2/13/2022,Vol betalend,271
2/13/2022,Actie,679
2/13/2022,Accommodatie,60
2/13/2022,Scholen alleen entree,0
2/13/2022,Evenementen Scholen,0
2/13/2022,Evenementen met entree,0
2/13/2022,Groepen,0
2/13/2022,Gratis/ <3,140
2/13/2022,Abonnement,450
2/14/2022,Vol betalend,60
2/14/2022,Actie,159
2/14/2022,Accommodatie,11
2/14/2022,Scholen alleen entree,0
2/14/2022,Evenementen Scholen,0
2/14/2022,Evenementen met entree,0
2/14/2022,Groepen,0
2/14/2022,Gratis/ <3,105
2/14/2022,Abonnement,140
2/15/2022,Vol betalend,60
2/15/2022,Actie,159
2/15/2022,Accommodatie,11
2/15/2022,Scholen alleen entree,0
2/15/2022,Evenementen Scholen,0
2/15/2022,Evenementen met entree,0
2/15/2022,Groepen,0
2/15/2022,Gratis/ <3,105
2/15/2022,Abonnement,140
2/16/2022,Vol betalend,60
2/16/2022,Actie,159
2/16/2022,Accommodatie,11
2/16/2022,Scholen alleen entree,0
2/16/2022,Evenementen Scholen,0
2/16/2022,Evenementen met entree,0
2/16/2022,Groepen,0
2/16/2022,Gratis/ <3,105
2/16/2022,Abonnement,140
2/17/2022,Vol betalend,60
2/17/2022,Actie,159
2/17/2022,Accommodatie,11
2/17/2022,Scholen alleen entree,0
2/17/2022,Evenementen Scholen,0
2/17/2022,Evenementen met entree,0
2/17/2022,Groepen,0
2/17/2022,Gratis/ <3,105
2/17/2022,Abonnement,140
2/18/2022,Vol betalend,60
2/18/2022,Actie,159
2/18/2022,Accommodatie,11
2/18/2022,Scholen alleen entree,0
2/18/2022,Evenementen Scholen,0
2/18/2022,Evenementen met entree,0
2/18/2022,Groepen,0
2/18/2022,Gratis/ <3,105
2/18/2022,Abonnement,140
2/19/2022,Vol betalend,470
2/19/2022,Actie,500
2/19/2022,Accommodatie,66
2/19/2022,Scholen alleen entree,0
2/19/2022,Evenementen Scholen,0
2/19/2022,Evenementen met entree,0
2/19/2022,Groepen,0
2/19/2022,Gratis/ <3,140
2/19/2022,Abonnement,824
2/20/2022,Vol betalend,470
2/20/2022,Actie,500
2/20/2022,Accommodatie,66
2/20/2022,Scholen alleen entree,0
2/20/2022,Evenementen Scholen,0
2/20/2022,Evenementen met entree,0
2/20/2022,Groepen,0
2/20/2022,Gratis/ <3,140
2/20/2022,Abonnement,824
2/21/2022,Vol betalend,470
2/21/2022,Actie,500
2/21/2022,Accommodatie,66
2/21/2022,Scholen alleen entree,0
2/21/2022,Evenementen Scholen,0
2/21/2022,Evenementen met entree,0
2/21/2022,Groepen,0
2/21/2022,Gratis/ <3,140
2/21/2022,Abonnement,824
2/22/2022,Vol betalend,470
2/22/2022,Actie,500
2/22/2022,Accommodatie,66
2/22/2022,Scholen alleen entree,0
2/22/2022,Evenementen Scholen,0
2/22/2022,Evenementen met entree,0
2/22/2022,Groepen,0
2/22/2022,Gratis/ <3,140
2/22/2022,Abonnement,824
2/23/2022,Vol betalend,470
2/23/2022,Actie,500
2/23/2022,Accommodatie,66
2/23/2022,Scholen alleen entree,0
2/23/2022,Evenementen Scholen,0
2/23/2022,Evenementen met entree,0
2/23/2022,Groepen,0
2/23/2022,Gratis/ <3,140
2/23/2022,Abonnement,824
2/24/2022,Vol betalend,470
2/24/2022,Actie,500
2/24/2022,Accommodatie,66
2/24/2022,Scholen alleen entree,0
2/24/2022,Evenementen Scholen,0
2/24/2022,Evenementen met entree,0
2/24/2022,Groepen,0
2/24/2022,Gratis/ <3,140
2/24/2022,Abonnement,824
2/25/2022,Vol betalend,470
2/25/2022,Actie,500
2/25/2022,Accommodatie,66
2/25/2022,Scholen alleen entree,0
2/25/2022,Evenementen Scholen,0
2/25/2022,Evenementen met entree,0
2/25/2022,Groepen,0
2/25/2022,Gratis/ <3,140
2/25/2022,Abonnement,824
2/26/2022,Vol betalend,500
2/26/2022,Actie,510
2/26/2022,Accommodatie,50
2/26/2022,Scholen alleen entree,0
2/26/2022,Evenementen Scholen,0
2/26/2022,Evenementen met entree,0
2/26/2022,Groepen,0
2/26/2022,Gratis/ <3,140
2/26/2022,Abonnement,1000
2/27/2022,Vol betalend,500
2/27/2022,Actie,510
2/27/2022,Accommodatie,50
2/27/2022,Scholen alleen entree,0
2/27/2022,Evenementen Scholen,0
2/27/2022,Evenementen met entree,0
2/27/2022,Groepen,0
2/27/2022,Gratis/ <3,140
2/27/2022,Abonnement,1000
2/28/2022,Vol betalend,200
2/28/2022,Actie,502
2/28/2022,Accommodatie,66
2/28/2022,Scholen alleen entree,0
2/28/2022,Evenementen Scholen,0
2/28/2022,Evenementen met entree,0
2/28/2022,Groepen,0
2/28/2022,Gratis/ <3,32
2/28/2022,Abonnement,200
3/1/2022,Vol betalend,200
3/1/2022,Actie,502
3/1/2022,Accommodatie,66
3/1/2022,Scholen alleen entree,0
3/1/2022,Evenementen Scholen,0
3/1/2022,Evenementen met entree,0
3/1/2022,Groepen,0
3/1/2022,Gratis/ <3,32
3/1/2022,Abonnement,200
3/2/2022,Vol betalend,200
3/2/2022,Actie,502
3/2/2022,Accommodatie,66
3/2/2022,Scholen alleen entree,0
3/2/2022,Evenementen Scholen,0
3/2/2022,Evenementen met entree,0
3/2/2022,Groepen,0
3/2/2022,Gratis/ <3,32
3/2/2022,Abonnement,200
3/3/2022,Vol betalend,200
3/3/2022,Actie,502
3/3/2022,Accommodatie,66
3/3/2022,Scholen alleen entree,0
3/3/2022,Evenementen Scholen,0
3/3/2022,Evenementen met entree,0
3/3/2022,Groepen,0
3/3/2022,Gratis/ <3,32
3/3/2022,Abonnement,200
3/4/2022,Vol betalend,200
3/4/2022,Actie,478
3/4/2022,Accommodatie,60
3/4/2022,Scholen alleen entree,30
3/4/2022,Evenementen Scholen,0
3/4/2022,Evenementen met entree,0
3/4/2022,Groepen,0
3/4/2022,Gratis/ <3,32
3/4/2022,Abonnement,200
3/5/2022,Vol betalend,550
3/5/2022,Actie,540
3/5/2022,Accommodatie,60
3/5/2022,Scholen alleen entree,0
3/5/2022,Evenementen Scholen,0
3/5/2022,Evenementen met entree,0
3/5/2022,Groepen,0
3/5/2022,Gratis/ <3,150
3/5/2022,Abonnement,400
3/6/2022,Vol betalend,700
3/6/2022,Actie,582
3/6/2022,Accommodatie,58
3/6/2022,Scholen alleen entree,0
3/6/2022,Evenementen Scholen,0
3/6/2022,Evenementen met entree,0
3/6/2022,Groepen,0
3/6/2022,Gratis/ <3,160
3/6/2022,Abonnement,500
3/7/2022,Vol betalend,61
3/7/2022,Actie,159
3/7/2022,Accommodatie,18
3/7/2022,Scholen alleen entree,0
3/7/2022,Evenementen Scholen,0
3/7/2022,Evenementen met entree,0
3/7/2022,Groepen,0
3/7/2022,Gratis/ <3,32
3/7/2022,Abonnement,180
3/8/2022,Vol betalend,61
3/8/2022,Actie,159
3/8/2022,Accommodatie,18
3/8/2022,Scholen alleen entree,0
3/8/2022,Evenementen Scholen,0
3/8/2022,Evenementen met entree,0
3/8/2022,Groepen,0
3/8/2022,Gratis/ <3,32
3/8/2022,Abonnement,180
3/9/2022,Vol betalend,61
3/9/2022,Actie,159
3/9/2022,Accommodatie,18
3/9/2022,Scholen alleen entree,0
3/9/2022,Evenementen Scholen,0
3/9/2022,Evenementen met entree,0
3/9/2022,Groepen,0
3/9/2022,Gratis/ <3,32
3/9/2022,Abonnement,180
3/10/2022,Vol betalend,61
3/10/2022,Actie,159
3/10/2022,Accommodatie,18
3/10/2022,Scholen alleen entree,0
3/10/2022,Evenementen Scholen,0
3/10/2022,Evenementen met entree,0
3/10/2022,Groepen,0
3/10/2022,Gratis/ <3,32
3/10/2022,Abonnement,180
3/11/2022,Vol betalend,61
3/11/2022,Actie,132
3/11/2022,Accommodatie,15
3/11/2022,Scholen alleen entree,30
3/11/2022,Evenementen Scholen,0
3/11/2022,Evenementen met entree,0
3/11/2022,Groepen,0
3/11/2022,Gratis/ <3,32
3/11/2022,Abonnement,180
3/12/2022,Vol betalend,248
3/12/2022,Actie,792
3/12/2022,Accommodatie,60
3/12/2022,Scholen alleen entree,0
3/12/2022,Evenementen Scholen,0
3/12/2022,Evenementen met entree,0
3/12/2022,Groepen,0
3/12/2022,Gratis/ <3,150
3/12/2022,Abonnement,650
3/13/2022,Vol betalend,318
3/13/2022,Actie,842
3/13/2022,Accommodatie,80
3/13/2022,Scholen alleen entree,0
3/13/2022,Evenementen Scholen,0
3/13/2022,Evenementen met entree,0
3/13/2022,Groepen,0
3/13/2022,Gratis/ <3,160
3/13/2022,Abonnement,900
3/14/2022,Vol betalend,106
3/14/2022,Actie,216
3/14/2022,Accommodatie,25
3/14/2022,Scholen alleen entree,0
3/14/2022,Evenementen Scholen,0
3/14/2022,Evenementen met entree,0
3/14/2022,Groepen,0
3/14/2022,Gratis/ <3,53
3/14/2022,Abonnement,400
3/15/2022,Vol betalend,106
3/15/2022,Actie,216
3/15/2022,Accommodatie,25
3/15/2022,Scholen alleen entree,0
3/15/2022,Evenementen Scholen,0
3/15/2022,Evenementen met entree,0
3/15/2022,Groepen,0
3/15/2022,Gratis/ <3,53
3/15/2022,Abonnement,400
3/16/2022,Vol betalend,106
3/16/2022,Actie,216
3/16/2022,Accommodatie,25
3/16/2022,Scholen alleen entree,0
3/16/2022,Evenementen Scholen,0
3/16/2022,Evenementen met entree,0
3/16/2022,Groepen,0
3/16/2022,Gratis/ <3,53
3/16/2022,Abonnement,400
3/17/2022,Vol betalend,106
3/17/2022,Actie,216
3/17/2022,Accommodatie,25
3/17/2022,Scholen alleen entree,0
3/17/2022,Evenementen Scholen,0
3/17/2022,Evenementen met entree,0
3/17/2022,Groepen,0
3/17/2022,Gratis/ <3,53
3/17/2022,Abonnement,400
3/18/2022,Vol betalend,101
3/18/2022,Actie,191
3/18/2022,Accommodatie,25
3/18/2022,Scholen alleen entree,30
3/18/2022,Evenementen Scholen,0
3/18/2022,Evenementen met entree,0
3/18/2022,Groepen,0
3/18/2022,Gratis/ <3,53
3/18/2022,Abonnement,400
3/19/2022,Vol betalend,248
3/19/2022,Actie,792
3/19/2022,Accommodatie,60
3/19/2022,Scholen alleen entree,0
3/19/2022,Evenementen Scholen,0
3/19/2022,Evenementen met entree,0
3/19/2022,Groepen,0
3/19/2022,Gratis/ <3,150
3/19/2022,Abonnement,650
3/20/2022,Vol betalend,318
3/20/2022,Actie,842
3/20/2022,Accommodatie,80
